gray_value,rgb_value
130,"[224.12503099999998, 125.03099999998813, 31]"
131,"[224.12503099999998, 125.03099999998813, 31]"
132,"[224.12503099999998, 125.03099999998813, 31]"
133,"[224.12503099999998, 125.03099999998813, 31]"
134,"[224.12503099999998, 125.03099999998813, 31]"
135,"[224.12503099999998, 125.03099999998813, 31]"
136,"[224.12503099999998, 125.03099999998813, 31]"
137,"[224.12503099999998, 125.03099999998813, 31]"
138,"[224.12503099999998, 125.03099999998813, 31]"
139,"[224.12503099999998, 125.03099999998813, 31]"
140,"[224.12503099999998, 125.03099999998813, 31]"
141,"[224.12503099999998, 125.03099999998813, 31]"
142,"[224.12503099999998, 125.03099999998813, 31]"
143,"[224.12503099999998, 125.03099999998813, 31]"
144,"[224.12503099999998, 125.03099999998813, 31]"
145,"[224.12503099999998, 125.03099999998813, 31]"
146,"[224.12503099999998, 125.03099999998813, 31]"
147,"[234.184103, 184.1030000000028, 103]"
148,"[234.184103, 184.1030000000028, 103]"
149,"[234.184103, 184.1030000000028, 103]"
150,"[234.184103, 184.1030000000028, 103]"
151,"[234.184103, 184.1030000000028, 103]"
152,"[113.152156, 152.15600000000268, 156]"
153,"[113.152156, 152.15600000000268, 156]"
154,"[113.152156, 152.15600000000268, 156]"
155,"[234.184103, 184.1030000000028, 103]"
156,"[234.184103, 184.1030000000028, 103]"
157,"[234.184103, 184.1030000000028, 103]"
158,"[234.184103, 184.1030000000028, 103]"
159,"[234.184103, 184.1030000000028, 103]"
160,"[234.184103, 184.1030000000028, 103]"
161,"[234.184103, 184.1030000000028, 103]"
162,"[234.184103, 184.1030000000028, 103]"
163,"[234.184103, 184.1030000000028, 103]"
164,"[234.184103, 184.1030000000028, 103]"
165,"[234.184103, 184.1030000000028, 103]"
166,"[234.184103, 184.1030000000028, 103]"
167,"[234.184103, 184.1030000000028, 103]"
168,"[234.184103, 184.1030000000028, 103]"
169,"[234.184103, 184.1030000000028, 103]"
170,"[234.184103, 184.1030000000028, 103]"
171,"[234.184103, 184.1030000000028, 103]"
172,"[234.184103, 184.1030000000028, 103]"
173,"[234.184103, 184.1030000000028, 103]"
174,"[234.184103, 184.1030000000028, 103]"
175,"[234.184103, 184.1030000000028, 103]"
176,"[234.184103, 184.1030000000028, 103]"
177,"[234.184103, 184.1030000000028, 103]"
178,"[234.184103, 184.1030000000028, 103]"
179,"[234.184103, 184.1030000000028, 103]"
180,"[234.184103, 184.1030000000028, 103]"
181,"[234.184103, 184.1030000000028, 103]"
182,"[234.184103, 184.1030000000028, 103]"
183,"[234.184103, 184.1030000000028, 103]"
184,"[201.18112599999998, 181.1259999999893, 126]"
185,"[234.184103, 184.1030000000028, 103]"
186,"[201.18112599999998, 181.1259999999893, 126]"
187,"[201.18112599999998, 181.1259999999893, 126]"
188,"[201.18112599999998, 181.1259999999893, 126]"
189,"[201.18112599999998, 181.1259999999893, 126]"
190,"[201.18112599999998, 181.1259999999893, 126]"
191,"[201.18112599999998, 181.1259999999893, 126]"
192,"[201.18112599999998, 181.1259999999893, 126]"
193,"[201.18112599999998, 181.1259999999893, 126]"
194,"[201.18112599999998, 181.1259999999893, 126]"
195,"[201.18112599999998, 181.1259999999893, 126]"
196,"[201.18112599999998, 181.1259999999893, 126]"
197,"[234.184103, 184.1030000000028, 103]"
198,"[234.184103, 184.1030000000028, 103]"
199,"[179.212222, 212.22200000000885, 222]"
